pubdate,PMID,title,abstract
2016,27294945,Effects of Cerium and Titanium Oxide Nanoparticles in Soil on the Nutrient Composition of Barley (Hordeum vulgare L.) Kernels.,"The implications of metal nanoparticles (MeNPs) are still unknown for many food crops. The purpose of this study was to evaluate the effects of cerium oxide (nCeO₂) and titanium oxide (nTiO₂) nanoparticles in soil at 0, 500 and 1000 mg·kg(-1) on the nutritional parameters of barley (Hordeum vulgare L.) kernels. Mineral nutrients, amylose, β-glucans, amino acid and crude protein (CP) concentrations were measured in kernels. Whole flour samples were analyzed by ICP-AES/MS, HPLC and Elemental CHNS Analyzer. Results showed that Ce and Ti accumulation under MeNPs treatments did not differ from the control treatment. However, nCeO₂ and nTiO₂ had an impact on composition and nutritional quality of barley kernels in contrasting ways. Both MeNPs left β-glucans unaffected but reduced amylose content by approximately 21%. Most amino acids and CP increased. Among amino acids, lysine followed by proline saw the largest increase (51% and 37%, respectively). Potassium and S were both negatively impacted by MeNPs, while B was only affected by 500 mg nCeO₂·kg(-1). On the contrary Zn and Mn concentrations were improved by 500 mg nTiO₂·kg(-1), and Ca by both nTiO₂ treatments. Generally, our findings demonstrated that kernels are negatively affected by nCeO₂ while nTiO₂ can potentially have beneficial effects. However, both MeNPs have the potential to negatively impact malt and feed production."
2015,25442533,"Unique variability of tocopherol composition in various seed oils recovered from by-products of apple industry: rapid and simple determination of all four homologues (α, β, γ and δ) by RP-HPLC/FLD.","The tocochromanol profile was studied in seed oils recovered from by-products of fruit industry, five dessert and seven crab apple varieties grown in Eastern Europe (Latvia). The seed oils obtained from dessert apples were characterized by higher contents of tocopherols (191.05-379.08 mg/100g oil) when compared to seed oils recovered from crab apples (130.55-202.54 mg/100g oil). The predominant homologues of tocopherol in all the studied samples were α and β over γ and δ. However, seed oils recovered from the apple cultivars 'Antej' and 'Beforest' had a unique profile of four tocopherol homologues (α:β:γ:δ) 91.41:80.55:72.46:79.03 and 114.55:112.84:78.69:73.00 mg/100g oil, respectively. A single dilution of seed oils in 2-propanol facilitated the direct use samples in the DPPH assay as well as injection into the RP-HPLC system containing a PFP (pentafluorophenyl) column, which resulted in a rapid separation of all four tocopherol homologues with excellent repeatability and reproducibility."
2019,30694594,MIDD0301 - A first-in-class anti-inflammatory asthma drug targets GABAA receptors without causing systemic immune suppression.,"We report a 28-day repeat dose immunotoxicity evaluation of investigational drug MIDD0301, a novel oral asthma drug candidate that targets gamma amino butyric acid type A receptors (GABAA R) in the lung. The study design employed oral administration of mice twice daily throughout the study period with 100 mg/kg MIDD0301 mixed in peanut butter. Compound dosing did not reveal signs of general toxicity as determined by animal weight, organ weight or haematology. Peanut butter plus test drug (in addition to ad libitum standard rodent chow) did not affect weight gain in the adult mice, in contrast to weight loss in 5 mg/kg prednisone-treated mice. Spleen and thymus weights were unchanged in MIDD0301-treated mice, but prednisone significantly reduced the weight of those organs over the 28-day dosing. Similarly, no differences in spleen or thymus histology were observed following MIDD0301 treatment, but prednisone treatment induced morphological changes in the spleen. The number of small intestine Peyer's patches was not affected by MIDD0301 treatment, an important factor for orally administered drugs. Circulating lymphocyte, monocyte and granulocyte numbers were unchanged in the MIDD0301-treated animals, whereas differential lymphocyte numbers were reduced in prednisone-treated animals. MIDD0301 treatment did not alter IgG antibody responses to dinitrophenyl following dinitrophenyl-keyhole limpet haemocyanin immunization, indicating that systemic humoral immune function was not affected. Taken together, these studies show that repeated daily administration of MIDD0301 is safe and not associated with adverse immunotoxicological effects in mice."
1992,1530281,Bioavailability of iron from a traditional Tunisian meal with chickpeas fed to healthy rats.,"The influence of a diet of couscous with chickpeas, a traditional Tunisian meal, or one providing iron as ferrous sulfate, on the utilization of 59Fe was evaluated in studies with rats. The iron content of the couscous and chickpea preparation was 30 mg/kg dry weight. There was no difference in the relative absorption of iron from ferrous sulfate or couscous with chickpeas, suggesting that iron from this preparation may be a good dietary source of nonheme iron for rats. Couscous and chickpeas consumption in Tunisia are estimated at 13.3 and 3.2 kg per capita/year, respectively. Our results in rats indicate that these foods could contribute a large proportion of an individual's iron requirement. We conclude that the plant foods, especially the chickpeas, can be excellent sources of dietary-available iron."
2016,26907305,Protective Effect of Onion Extract on Bleomycin-Induced Cytotoxicity and Genotoxicity in Human Lymphocytes.,"Following one of the world's largest nuclear accidents, occured at Fukushima, Japan in 2011, a significant scientific effort has focused on minimizing the potential adverse health effects due to radiation exposure. The use of natural dietary antioxidants to reduce the risk of radiation-induced oxidative DNA damage is a simple strategy for minimizing radiation-related cancer rates and improving overall health. The onion is among the richest sources of dietary flavonoids and is an important food for increasing their overall intake. Therefore, we examined the effect of an onion extract on cyto- and geno-toxicity in human lymphocytes treated with bleomycin (BLM), a radiomimetic agent. In addition, we measured the frequency of micronuclei (MN) and DNA damage following treatment with BLM using a cytokinesis-blocked micronucleus assay and a single cell gel electrophoresis assay. We observed a significant increase in cell viability in lymphocytes treated with onion extract then exposed to BLM compared to cells treated with BLM alone. The frequency of BLM induced MN and DNA damage increased in a dose-dependent manner; however, when lymphocytes were pretreated with onion extract (10 and 20 μL/mL), the frequency of BLM-induced MN was decreased at all doses of BLM and DNA damage was decreased at 3 μg/mL of BLM. These results suggest that onion extract may have protective effects against BLM-induced cyto- and genotoxicity in human lymphocytes. "
2012,22018075,A large-scale intervention to introduce orange sweet potato in rural Mozambique increases vitamin A intakes among children and women.,"β-Carotene-rich orange sweet potato (OSP) has been shown to improve vitamin A status of infants and young children in controlled efficacy trials and in a small-scale effectiveness study with intensive exposure to project inputs. However, the potential of this important food crop to reduce the risk of vitamin A deficiency in deficient populations will depend on the ability to distribute OSP vines and promote its household production and consumption on a large scale. In rural Mozambique, we conducted a randomised, controlled effectiveness study of a large-scale intervention to promote household-level OSP production and consumption using integrated agricultural, demand creation/behaviour change and marketing components. The following two intervention models were compared: a low-intensity (1 year) and a high-intensity (nearly 3 years) training model. The primary nutrition outcomes were OSP and vitamin A intakes by children 6-35 months and 3-5·5 years of age, and women. The intervention resulted in significant net increases in OSP intakes (model 1: 46, 48 and 97 g/d) and vitamin A intakes (model 1: 263, 254 and 492 μg retinol activity equivalents/d) among the younger children, older children and women, respectively. OSP accounted for 47-60 % of all sweet potato consumed and, among reference children, provided 80 % of total vitamin A intakes. A similar magnitude of impact was observed for both models, suggesting that group-level trainings in nutrition and agriculture could be limited to the first project year without compromising impact. Introduction of OSP to rural, sweet potato-producing communities in Mozambique is an effective way to improve vitamin A intakes."
2017,29217167,Potential protective effect of Pistacia lentiscus oil against chlorpyrifos-induced hormonal changes and oxidative damage in ovaries and thyroid of female rats.,"The purpose of this study was to evaluate the protective effect of Pistacia lentiscus oil (PLO), known for its antioxidant properties, on chlorpyrifos (CPF)-induced alterations in the thyroid, reproductive hormone levels, and oxidative damage in the ovaries and thyroid of adult Wistar rats. The animals were treated with orally administered PLO (2 mL/kg), CPF (6.75 mg/kg), and a combination of CPF and PLO for 30 days. Serum levels of luteinizing hormone (LH), follicle-stimulating hormone (FSH), progesterone (Pg), estradiol (E2), triiodothyronine (T3), thyroxine (T4), and thyroid-stimulating hormone (TSH) were assessed using chemiluminescence assay. Malondialdehyde (MDA), protein carbonyl (PC), and reduced glutathione (GSH) levels were examined in the ovaries and thyroid glands. The oil principal volatile compounds detected by gas chromatography analysis were: myrcene, α-pinene and limonene (26.21, 22.66 and 10.33%, respectively). No significant differences were observed between serum concentrations of TSH and FSH in the examined experimental groups. However, serum concentrations of LH, E2, Pg, T3, and T4 decreased significantly in CPF-treated rats in comparison with the controls. The body weight and relative weight of ovaries and thyroids in this group were also significantly reduced. The MDA and PC content increased significantly, while the GSH content was markedly depressed in the thyroid and ovaries of rats treated with CPF. Co-administration of PLO and CPF effectively ameliorated the adverse effects; the oxidative damage was reduced and the levels of thyroid and reproductive hormones restored to a normal range. In conclusion, it appears that PLO substantially alleviates the CPF-induced oxidative damage and hormonal alterations."
2003,14580784,Genotoxic effects of myosmine in human lymphocytes and upper aerodigestive tract epithelial cells.,"Myosmine, 3-(1-pyrroline-2-yl)pyridine, is an alkaloid found in tobacco plants. Recently, it was also detected in various edibles and staple foods. Whereas other tobacco alkaloids such as nicotine and nornicotine and their nitrosation products, 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone (NNK) and N'-nitrosonornicotine (NNN), have been widely discussed, the mutagenic impact of myosmine has not been investigated in detail. In the present study, possible genotoxic effects of myosmine were studied in human lymphocytes and nasal mucosal cells using the alkaline single cell microgel electrophoresis (Comet) assay. DNA single strand breaks, alkali labile sites and incomplete excision repair sites were expressed using the Olive tail moment (OTM). One hour incubation with myosmine at 0, 5, 10, 25 and 50 mM induced a low but significantly dose-dependent increase of DNA migration from 1.29 +/- 0.13 to 18.25 +/- 1.59 (OTM, mean +/- S.E., N=11) in lymphocytes. In nasal mucosal cells a similar although somewhat less extensive DNA damage from 1.17 +/- 0.12 to 21.67 +/- 2.97 (OTM, mean +/- S.E., N=10-11) was obtained after 1 h incubation with myosmine at 0, 10, 25, 50 and 100 mM. After prolonged incubation of human lymphocytes with 10mM myosmine for 1, 3, 6, and 24 h, a significant time-dependent increase of DNA migration from 3.45 +/- 0.43 to 57.77 +/- 8.24 (OTM, mean +/- S.E., N=4) was observed. Our data indicate that myosmine expresses significant genotoxic effects in human target cells of carcinogenesis. This result warrants further investigations on the impact of this dietary component on human health."
2012,23196970,Effect of zeolite nano-materials and artichoke (Cynara scolymus L.) leaf extract on increase in urinary clearance of systematically absorbed nicotine.,"Nicotine, the main pharmacologically active component in tobacco and cigarette, has some toxic effects and also high potential for addiction. In this study, the effect of artichoke (Cynara scolymus L.) and zeolite nano-materials on urinary excretion of nicotine and consequently elimination of systematically absorbed nicotine was investigated. A simple, valid and highly sensitive high performance liquid chromatography method has been developed for determination of nicotine in rat urine according to guidelines for bioanalysis.It was found that nano-zeolites can cause increase in urinary concentration of nicotine due to its high surface adsorption. Artichoke leaf extract can cause increase in urinary excretion of nicotine in longer post administration times. It was observed that co-administration of nanozeolites and the leaf extract has the synergetic effect on increasing the urinary excretion of nicotine."
2019,30654110,Pharmacokinetic interaction of calcitriol with 20(S)-protopanaxadiol in mice: Determined by LC/MS analysis.,"The physiological and anti-cancer functions of vitamin D3 are accomplished primarily via 1α,25-dihydroxyvitamin D3 (calcitriol), whereas 20(S)-protopanaxadiol (aPPD) is a ginsenoside, which is isolated from Panax ginseng, with potential anti-cancer benefits. In the present study, we report a pharmacokinetic (PK) herb-nutrient interaction between calcitriol and aPPD in mice. A liquid chromatography mass spectrometry (LC/MS) method was developed using 4-phenyl-1,2,4-triazoline-3,5-dione derivatizing agent and we subsequently used the method to quantitate calcitriol in mouse serum. The limit of quantitation was 0.01 ng/ml which is approximately 100 fold lower than the previously reported assay from our laboratory. Calcitriol PK parameters were determined in non-tumor-bearing or C4-2 human prostate tumor-bearing nude mice following oral co-administration of calcitriol either alone or in combination with aPPD. Mice were pretreated with oral aPPD (70 mg/kg) or vehicle control twice daily for seven consecutive days, followed by a single oral dose of 4 μg/kg calcitriol alone or in combination with aPPD. Our PK results demonstrated that co-administration of calcitriol with aPPD (following pre-treatment with vehicle for seven days) resulted in a 35% increase in the area under the curve (AUC0-24 h) and a 41% increase in the maximum serum concentration (Cmax) compared to the calcitriol only group. aPPD therefore significantly increased calcitriol serum exposure. We also saw a reduction in the time required to reach Cmax. In contrast, calcitriol PK in mice co-administered with calcitriol and aPPD as well as those pretreated seven consecutive days with aPPD was no different than that determined for the mice that received vehicle for seven days as pre-treatment. Co-administration of calcitriol with aPPD therefore could increase health benefits of vitamin D3, however any increased risk of hypercalcemia, resulting from this combination approach, requires further investigation. Lastly, we surmise that a cytochrome P450 inhibition-based mechanism may contribute to the observed PK interaction."
2013,23178381,"Aspidin PB, a phloroglucinol derivative, induces apoptosis in human hepatocarcinoma HepG2 cells by modulating PI3K/Akt/GSK3β pathway.","Aspidin PB, a phloroglucinol derivative isolated from Dryopteris fragrans (L.) Schott, has been previously reported to exert high biological activities. In the present study, we analyzed the apoptotic mechanisms of aspidin PB on human hepatoma cell line, HepG2. Initially, aspidin PB was shown to inhibit the growth of HepG2 cells in a time and dose-dependent manner. After treatment with aspidin PB for 72 h, 48 h and 24 h using MTT assay, the IC(50) values were 10.59 μM, 20.86 μM and 46.59 μM, respectively. Aspidin PB was capable to induce apoptosis, as measured by mitochondrial membrane potential (ΔΨm), acridine orange (AO) staining and propidium iodide (PI)/annexin V-FITC double staining. To further explore the signaling pathway of aspidin PB-mediated apoptosis, we examined PI3K/Akt related proteins. Western blot analysis revealed that aspidin PB inhibited PI3K expression, phosphorylation of Ser473 Akt and Ser9 GSK3β followed by up-regulation of nonsteroidal anti-inflammatory drugs activated gene-1 (NAG-1) expression. Similarly, the effects of aspidin PB on PI3K, Akt, GSK3β, NAG-1 expression were abolished by treatment with the PI3K inhibitor, wortmannin. Taken together, our data suggested that the PI3K/Akt/GSK3β signal pathway may represent one of the major mechanisms of the effects of aspidin PB on human hepatocarcinoma cells."
,11876445,Comparative analysis of phenolic acids in mistletoe plants from various hosts.,"Phenolic acids present in mistletoe plants collected from various hosts were analysed with the use of HPLC. The following numbers of compounds were found in the mistletoe plant material gathered from respective hosts: Sorbus aucuparia- 12 compounds; Acer plantanoides--14 compounds: Malus domestica, Pyrus communis and Populus nigra--13 compounds each; Quercus robur--15 compounds. Altogether 21 phenolic acids were chromatographically identified in the tested material. The compounds were either free or combined as esters or glycosides. Comparative chromatography revealed qualitative differences in the investigated compounds between the various plant materials. For example o-coumaric acid was only found in mistletoe hosted by Quercus robur. Digallic acid was only found in the plant material hosted by Acer plantanoides. Qualitative and quantitative composition of mistletoes hosted by Malus domestica and Pyrus communis showed considerable similarities as far as phenolic acids were concerned. Moreover. vanillic acid. absent in all other batches of plant material, seemed to be characteristic of the above mistletoes. Quantitative HPLC analysis demonstrated a considerable content of salicylic acid (39.55 mg%) in mistletoe hosted by Sorbus aucuparia. Apart from the above material, this compound was only present in small quantities in plants hosted by Populus nigra (15.63 mg%) and Quercus robur (2.63 mg%)."
2001,11163336,"Tyrphostin [correction of Tryphostin] AG879, a tyrosine kinase inhibitor: prevention of transcriptional activation of the electrophile and the aromatic hydrocarbon response elements.","To investigate a possible role of phosphorylation in the signal transduction pathways responsible for transcriptional regulation of drug-metabolizing enzymes, we tested seven specific tyrosine kinase inhibitors (tyrphostins) for their effects on NAD(P)H:quinone oxidoreductase-1 (NQO1) mRNA levels in mouse hepatoma Hepa-1c1c7 (Hepa-1) cells and chose to study AG879 further. The potent electrophile tert-butylhydroquinone (tBHQ) is known to activate NQO1 gene transcription via the electrophile response element (EPRE). Among the tyrphostins tested, tyrphostin AG879 was unique in preventing the accumulation of tBHQ-induced NQO1 mRNA; this effect was dependent on the AG879 dose and was also sensitive to the time when AG879 was added relative to the beginning of tBHQ treatment. 2,3,7,8-Tetrachlorodibenzo-p-dioxin (dioxin; TCDD) is known to activate Cyp1a1 gene transcription by way of aromatic hydrocarbon response elements (AHREs). We found that AG879 also prevents, to a lesser extent, the AHRE-mediated induction of CYP1A1 and NQO1 mRNA by dioxin. Zinc or cadmium is known to activate metallothionein (Mt1) gene transcription via the metal response element (MRE). AG879 induced MT1 mRNA, and AG879 did not block zinc- or cadmium-induced MT1 mRNA, indicating that the effects of AG879 on NQO1 or CYP1A1 mRNA levels cannot be generalized to all transcripts. Using transient transfection of EPRE-, AHRE-, or MRE-driven luciferase reporter gene constructs in Hepa-1 cells, we showed that the inhibitory effects of AG879 occurred at the level of EPRE- and AHRE-mediated transcription, but that AG879 did not affect the MRE-driven transcriptional response. These data suggest that AG879 might inhibit an unknown tyrosine kinase(s) whose activity is essential for EPRE- and AHRE-mediated trans-activation of certain mammalian genes. These results also indicate that some sharing of common signal transduction pathways might exist in the regulation of genes involved in drug metabolism that also respond to oxidative stress."
2015,25529706,Chemical properties in fruits of mulberry species from the Xinjiang province of China.,"Mulberries are a widely cultivated foodstuff both in China and worldwide. However, there are stark differences in the nutritional values of mulberry species. To better appreciate these differences, we here describe the chemical characteristics of white (Morus alba L.), Russian (M. alba var. tatarica L.), and black (Morus nigra L.) mulberry fruits cultivated in the Xinjiang province of China. The chemical composition analysis was performed by official methods procedures. The amino acids were analysed by the phenyl isothiocyanate method. The 2,6-dichloroindophenol titrimetric method, the aluminium chloride colorimetric method, and the pH differential method were also used in measuring the content of reduced ascorbic acid, total flavonoids, and total monomeric anthocyanins, respectively. The black mulberry fruits had the highest content of reduced ascorbic acid (48.4 mg/100 g fw), titratable acidity (47.1 mg/g fw), and Fe (11.9 mg/100 g fw) of these 3 species. The Russian mulberry fruits had the highest EAA/TAA (essential amino acid/total amino acid) ratio at 44% followed by the white mulberry (42%) and the black mulberry (29%). The black mulberry fruits had found to be richest in terms of total flavonoids and total monomeric anthocyanins. These results are helpful for selecting mulberry species with abundant nutrients and phytochemicals for commercial cultivation."
2014,24206703,On-line solid-phase extraction using a C₁₈ minicolumn coupled to a flow injection system for determination of caffeine in green and roasted coffee beans.,"A novel and fast method based on the solid phase extraction (SPE) coupled to a flow injection system for the determination of caffeine in coffee beans was developed. The caffeine extraction of coffee beans was carried out with hot water. A C18 reverse-phase mini-column was coupled to a continuous flow manifold to carry out the on-line SPE and the quantification of caffeine from aqueous extracts. Column length, retention time, elution volume, extracting solution and injection volume were evaluated. The retention time was of 90s and the elution was carried out with 400 μL of a methanol:water mixture (25:75). The proposed on-line SPE was compared against a chloroform extraction from aqueous extracts. With the proposed method the sample preparation was minimised and the sample throughput was increased (10 determination/h) because no dilution was required. Green coffee beans and beans with different roasting degree were analyzed."
1997,9301115,Cysteine-S-conjugate beta-lyase activity and pyridoxal phosphate binding site of onion alliin lyase.,"Purification of onion alliin lyase gave two fractions by cation exchange chromatography. Both fractions showed the comparable high catalytic activity of cysteine-S-conjugate beta-lyase with that of alliin lyase using S-(2-chloro-6-nitrophenyl)-L-cysteine and alliin, S-allyl-L-cysteine sulfoxide as substrates. All the active substrates tested with onion alliin lyase were also active to the cysteine-S-conjugate beta-lyase of Mucor javanicus, but the catalytic activity of the Mucor enzyme was lower for all the substrates. The pyridoxal phosphate binding site of the onion alliin lyase was identified as Lys 285 in the amino acid sequence deduced from cDNA which has been reported. This lysine was conserved in all the sequences from the alliin lyase cDNAs, while similarity was not found between the sequences around pyridoxal phosphate binding sites of both the onion alliin lyase and the Mucor cysteine-S-conjugate beta-lyase."
2015,25318392,Derivation of a water quality guideline for aluminium in marine waters.,"Metal risk assessment of industrialized harbors and coastal marine waters requires the application of robust water quality guidelines to determine the likelihood of biological impacts. Currently there is no such guideline available for aluminium in marine waters. A water quality guideline of 24 µg total Al/L has been developed for aluminium in marine waters based on chronic 10% inhibition or effect concentrations (IC10 or EC10) and no-observed-effect concentrations (NOECs) from 11 species (2 literature values and 9 species tested including temperate and tropical species) representing 6 taxonomic groups. The 3 most sensitive species tested were a diatom Ceratoneis closterium (formerly Nitzschia closterium; IC10 = 18 µg Al/L, 72-h growth rate inhibition) < mussel Mytilus edulis plannulatus (EC10 = 250 µg Al/L, 72-h embryo development) < oyster Saccostrea echinata (EC10 = 410 µg Al/L, 48-h embryo development). Toxicity to these species was the result of the dissolved aluminium forms of aluminate (Al(OH4 (-) ) and aluminium hydroxide (Al(OH)3 (0) ) although both dissolved, and particulate aluminium contributed to toxicity in the diatom Minutocellus polymorphus and green alga Dunaliella tertiolecta. In contrast, aluminium toxicity to the green flagellate alga Tetraselmis sp. was the result of particulate aluminium only. Four species, a brown macroalga (Hormosira banksii), sea urchin embryo (Heliocidaris tuberculata), and 2 juvenile fish species (Lates calcarifer and Acanthochromis polyacanthus), were not adversely affected at the highest test concentration used."
2018,29374471,"Subchronic toxicity, immunoregulation and anti-breast tumor effect of Nordamnacantal, an anthraquinone extracted from the stems of Morinda citrifolia L.","Morinda citrifolia L. that was reported with immunomodulating and cytotoxic effects has been traditionally used to treat multiple illnesses including cancer. An anthraquinone derived from fruits of Morinda citrifolia L., nordamnacanthal, is a promising agent possessing several in vitro biological activities. However, the in vivo anti-tumor effects and the safety profile of nordamnacanthal are yet to be evaluated.In vitro cytotoxicity of nordamnacanthal was tested using MTT, cell cycle and Annexin V/PI assays on human MCF-7 and MDA-MB231 breast cancer cells. Mice were orally fed with nordamnacanthal daily for 28 days for oral subchronic toxicity study. Then, the in vivo anti-tumor effect was evaluated on 4T1 murine cancer cells-challenged mice. Changes of tumor size and immune parameters were evaluated on the untreated and nordamnacanthal treated mice.Nordamnacanthal was found to possess cytotoxic effects on MDA-MB231, MCF-7 and 4T1 cells in vitro. Moreover, based on the cell cycle and Annexin V results, nordamnacanthal managed to induce cell death in both MDA-MB231 and MCF-7 cells. Additionally, no mortality, signs of toxicity and changes of serum liver profile were observed in nordamnacanthal treated mice in the subchronic toxicity study. Furthermore, 50 mg/kg body weight of nordamncanthal successfully delayed the progression of 4T1 tumors in Balb/C mice after 28 days of treatment. Treatment with nordamnacanthal was also able to increase tumor immunity as evidenced by the immunophenotyping of the spleen and YAC-1 cytotoxicity assays.Nordamnacanthal managed to inhibit the growth and induce cell death in MDA-MB231 and MCF-7 cell lines in vitro and cease the tumor progression of 4T1 cells in vivo. Overall, nordamnacanthal holds interesting anti-cancer properties that can be further explored."
2011,21791624,Resveratrol ameliorates metabolic disorders and muscle wasting in streptozotocin-induced diabetic rats.,"Diabetes mellitus (DM) is characterized by dysregulated energy metabolism. Resveratrol (RSV) has been shown to ameliorate hyperglycemia and hyperlipidemia in diabetic animals. However, its overall in vivo effects on energy metabolism and the underlying mechanism require further investigation. In the present study, electrospray ionization-tandem mass spectrometry was employed to characterize the urine and plasma metabolomes of control, streptozotocin-induced DM and RSV-treated DM rats. Using principal component analysis (PCA) and heat map analysis, we discovered significant differences among control and experimental groups. RSV treatment significantly reduced the metabolic abnormalities in DM rats. Compared with the age-matched control rats, the level of carnitine was lower, and the levels of acetylcarnitine and butyrylcarnitine were higher in the urine and plasma of DM rats. RSV treatment ameliorated the deranged carnitine metabolism in DM rats. In addition, RSV treatment attenuated the diabetic ketoacidosis and muscle protein degradation, as evidenced from the attenuation of elevated urinary methyl-histidine and plasma branched-chain amino acids levels in DM rats. The beneficial effects of RSV in DM rats were correlated with activation of hepatic AMP-activated protein kinase and SIRT1 expression, increase of hepatic and muscular mitochondrial biogenesis and inhibition of muscle NF-κB activities. We concluded that RSV possesses multiple beneficial metabolic effects in insulin-deficient DM rats, particularly in improving energy metabolism and reducing protein wasting."
2012,21781365,Iodine concentration of organic and conventional milk: implications for iodine intake.,"Iodine is required for adequate thyroid hormone production, which is essential for brain development, particularly in the first trimester of pregnancy. Milk is the principal source of iodine in UK diets, and while small studies in Europe have shown organic milk to have a lower iodine concentration than conventional milk, no such study has been conducted in Britain. In view of the increasing popularity of organic milk in the UK, we aimed to compare the iodine concentration of retail organic and conventional milk and to evaluate regional influences in iodine levels. Samples of organic milk (n 92) and conventional milk (n 80), purchased from retail outlets in sixteen areas of the UK (southern England, Wales and Northern Ireland), were analysed for iodine using inductively coupled plasma MS. The region of origin of the milk was determined from information on the label. Organic milk was 42·1 % lower in iodine content than conventional milk (median iodine concentration 144·5 v. 249·5 ng/g; P < 0·001). There was no difference in the iodine concentration of either conventional or organic milk by area of purchase. However, a difference was seen in iodine concentration of organic milk by region of origin (P < 0·001). The lower iodine concentration of organic milk has public-health implications, particularly in view of emerging evidence of iodine deficiency in UK population sub-groups, including pregnant women. Individuals who choose organic milk should be aware that their iodine intake may be compromised and should ensure adequate iodine intake from alternative sources."
2003,12388155,Novel experimental protocol to increase specific plasma nonesterified fatty acids in humans.,"This study reports a novel protocol to increase plasma monounsaturated, polyunsaturated, and saturated nonesterified fatty acids (NEFA) in eight healthy volunteers (age 29-54 yr, body mass index 23-26 kg/m(2)). This was achieved by feeding small boluses of fat at different time points (35 g at 0 min and 8 g at 30, 60, 90, 120, 150, 180, and 210 min) in combination with a continuous low-dose heparin infusion. Olive oil, safflower oil, or palm stearin were used to increase monounsaturated, polyunsaturated, or saturated NEFAs, respectively. Plasma NEFA concentrations were increased for 2 h, when fat and heparin were given (olive oil: 745 +/- 35 micromol/l; safflower oil: 609 +/- 37 micromol/l, and palm stearin: 773 +/- 38 micromol/l) compared with the control test (no fat and no heparin: 445 +/- 41 micromol/l). During the heparin infusion, 18:1 n-9 was the most abundant fatty acid for the olive oil test compared with 18:2 n-6 for the safflower oil test and 16:0 for the palm stearin test (P < 0.01). The method described here successfully increases several types of plasma NEFA concentrations and could be used to investigate differential effects of elevated individual NEFAs on metabolic processes."
2019,31084445,Design of selegiline-loaded bio-nanosuspension for the management of depression using novel bio-retardant from Manilkara zapota.,"Objective: Depression is one of the most frequent psychiatric and potentially life-threatening disorders. This research work can offer a potential for delivery of selegiline moiety via ocular route in bio-nanosuspension mode for the effective management of depression after preclinical performance screening. Methods: The selegiline-loaded bio-nanosuspension was prepared using novel bio-retardant isolated from fruit pulp of Manilkara zapota (Sapodilla) by sonication solvent evaporation method with different ratios (0.05%, 0.1%, 0.2%, 0.3%, 0.4%, 0.5%, and 1%) and with standard polymer HPMC (0.1%, 0.2%, 0.3%, 0.4%, and 0.5%). The prepared formulations were evaluated for pH stability studies, %entrapment efficiency, in vitro drug release, particle size, polydispersity index (PDI), zeta potential, and stability studies. Results: The prepared bio-nanosuspension was subjected to the best formulation based on comparison of above-mentioned evaluation parameters, so Fb2 (0.1%) formulation was found to be the best formulation showing an R2 value of 0.9814, T50% of 29.7 h, and T80% of 65.25 h. According to the release kinetics, the best fit model was found to be the Korsmeyer-Peppas with the Fickian diffusion (Higuchi matrix) as the mechanism of drug release. Manilkara zapota (Sapodilla) provided excellent stability for the formulation and resulting particle size for the best formulation was found to be 252 nm. The bio-nanosuspension had PDI of 0.35 with zeta potential of -8.91 mV. Conclusion: The prepared bio-nanosuspension was found to be safe and compatible with the ophthalmic delivery for treatment of depression."
2000,10673673,Human herpesvirus 8 (KSHV) contamination of peripheral blood and autograft products from multiple myeloma patients.,"Human herpesvirus 8 (HHV-8), also known as Kaposi's sarcoma-associated herpesvirus (KSHV), has recently been identified within the bone marrow dendritic cells of multiple myeloma (MM) patients. This virus contains homologues to human cytokines such as IL-6 that could potentially stimulate myeloma cell growth and contribute to disease pathogenesis. Since mobilization chemotherapy may increase circulating dendritic cell numbers, we searched for HHV-8 in peripheral blood mononuclear cells (PBMCs) before and after mobilization chemotherapy given to MM patients. Furthermore, we determined if autograft purging using the CEPRATE SC device would reduce the percentage of HHV-8 infected stem cell products. Only two of the 39 PBMC samples collected prior to mobilization chemotherapy contained PCR detectable virus, yet nine of 37 PBMCs collected on the first day of leukapheresis had detectable HHV-8 (P = 0.016). HHV-8 was more frequently identified in autograft products before vs after Ceprate SC selection (40% vs 15%, P = 0.016). Although the role HHV-8 plays in myeloma pathogenesis remains unclear, these results imply that mobilization chemotherapy increases the numbers of circulating HHV-8-infected dendritic cells within the peripheral blood. In addition, CD34 selection of autograft products in MM patients may reduce the reintroduction of virally infected cells following high-dose chemotherapy. Bone Marrow Transplantation (2000) 25, 153-160."
