	document_idx	title	sentence	sentence_type
867	630	Honey feeding protects kidney against cisplatin nephrotoxicity through suppression of inflammation.	However, its effect on cisplatin nephrotoxicity is unknown.	none_sent
868	630	Honey feeding protects kidney against cisplatin nephrotoxicity through suppression of inflammation.	Our results show that animals with cisplatin-induced kidney dysfunction, as determined by increased serum creatinine, which received honey feeding had less kidney dysfunction.	key_sent
869	630	Honey feeding protects kidney against cisplatin nephrotoxicity through suppression of inflammation.	Improved kidney function was associated with better preservation of kidney morphology in honey-treated group as compared to the cisplatin alone-treated group.	key_sent
870	630	Honey feeding protects kidney against cisplatin nephrotoxicity through suppression of inflammation.	Interestingly, honey feeding significantly reduced cisplatin-induced tubular epithelial cell death, immune infiltration into the kidney as well as cytokine and chemokine expression and excretion as compared to cisplatin treated animals.	key_sent
871	630	Honey feeding protects kidney against cisplatin nephrotoxicity through suppression of inflammation.	Western blot analysis shows that cisplatin-induced increase in phosphorylation of NFkB was completely suppressed with honey feeding.	key_sent
872	637	Wheat germ agglutinin binding to cells derived from in vivo grown solid tumors.	Inhibition studies showed that WGA binding was principally to sialic acid and/or N-acetyl glucosamine residues.	none_sent
873	638	Syzygium aqueum leaf extract and its bioactive compounds enhances pre-adipocyte differentiation and 2-NBDG uptake in 3T3-L1 cells.	We observed that, S. aqueum leaf extract (0.04-5 μg/ml) and its six bioactive compounds (0.08-10 μM) at non-cytotoxic concentrations were effectively enhance adipogenesis, stimulate glucose uptake and increase adiponectin secretion in 3T3-L1 adipocytes.	key_sent
874	641	6-(Methylsulfinyl)hexyl isothiocyanate suppresses inducible nitric oxide synthase expression through the inhibition of Janus kinase 2-mediated JNK pathway in lipopolysaccharide-activated murine macrophages.	6-MITC showed a dose-dependent inhibition of LPS-induced nitric oxide (NO), iNOS mRNA and protein.	key_sent
875	641	6-(Methylsulfinyl)hexyl isothiocyanate suppresses inducible nitric oxide synthase expression through the inhibition of Janus kinase 2-mediated JNK pathway in lipopolysaccharide-activated murine macrophages.	6-MITC suppressed LPS-induced c-Jun phosphorylation, but did not inhibit IkappaB-alpha degradation.	key_sent
876	641	6-(Methylsulfinyl)hexyl isothiocyanate suppresses inducible nitric oxide synthase expression through the inhibition of Janus kinase 2-mediated JNK pathway in lipopolysaccharide-activated murine macrophages.	6-MITC suppressed iNOS expression through the inhibition of Jak2-mediated JNK signaling cascade with the attendant to AP-1 activation.	key_sent
877	641	6-(Methylsulfinyl)hexyl isothiocyanate suppresses inducible nitric oxide synthase expression through the inhibition of Janus kinase 2-mediated JNK pathway in lipopolysaccharide-activated murine macrophages.	These findings provide the molecular basis for the first time that 6-MITC is an effective agent to attenuate iNOS production.	key_sent
878	642	External and internal exposure of wine growers spraying methyl parathion.	Organophosphates, used in agriculture, are readily absorbed through the skin.	none_sent
879	642	External and internal exposure of wine growers spraying methyl parathion.	We investigated the relationship between dermal and inhalative methyl parathion exposure and the plasma levels.	none_sent
880	642	External and internal exposure of wine growers spraying methyl parathion.	Twenty-three healthy wine growers sprayed the insecticide for 50 min.	none_sent
881	642	External and internal exposure of wine growers spraying methyl parathion.	Cholinesterase activity did not decrease.	none_sent
882	643	Brazilian Morus nigra Attenuated Hyperglycemia, Dyslipidemia, and Prooxidant Status in Alloxan-Induced Diabetic Rats.	Chromatographic analysis by HPLC-DAD of EEMn was performed.	none_sent
883	643	Brazilian Morus nigra Attenuated Hyperglycemia, Dyslipidemia, and Prooxidant Status in Alloxan-Induced Diabetic Rats.	EEMn (400?mg/kg/day) reduced fasting and postprandial glycaemia, improved oral glucose tolerance, and reduced lipolysis and proteolysis in diabetic rats.	none_sent
884	643	Brazilian Morus nigra Attenuated Hyperglycemia, Dyslipidemia, and Prooxidant Status in Alloxan-Induced Diabetic Rats.	At higher levels, EEMn reduced triglycerides and VLDL levels in diabetic rats.	none_sent
885	644	Examination of processed vegetable foods for the presence of common DNA sequences of genetically modified tomatoes.	 The contamination of processed vegetable foods with genetically modified tomatoes was investigated by the use of qualitative PCR methods to detect the cauliflower mosaic virus 35S promoter (P35S) and the kanamycin resistance gene (NPTII).	none_sent
886	645	Are tropane alkaloids present in organic foods  Detection of scopolamine and atropine in organic buckwheat (Fagopyron esculentum L.) products by UHPLC-MS/MS.	A closer monitoring of tropane alkaloids (TA) in foods is now recommended by the European Commission, following a series of alerts related to the contamination of buckwheat with weeds of the genus Datura.	none_sent
887	646	Influence of flour blend composition on fermentation kinetics and phytate hydrolysis of sourdough used to make injera.	Phytic acid (IP6) was completely hydrolyzed in WrS and BW-injeras probably due to the combined action of endogenous malt and microbial phytases.	none_sent
888	647	Anticancer activity of thymoquinone in breast cancer cells: possible involvement of PPAR-gamma pathway.	 Thymoquinone (TQ), an active ingredient of Nigella sativa, has been reported to exhibit anti-oxidant, anti-inflammatory and anti-tumor activities through mechanism(s) that is not fully understood.	none_sent
889	647	Anticancer activity of thymoquinone in breast cancer cells: possible involvement of PPAR-gamma pathway.	In this study, we report the anticancer effects of TQ on breast cancer cells, and its potential effect on the PPAR-γ activation pathway.	none_sent
890	647	Anticancer activity of thymoquinone in breast cancer cells: possible involvement of PPAR-gamma pathway.	We found that TQ exerted strong anti-proliferative effect in breast cancer cells and, when combined with doxorubicin and 5-fluorouracil, increased cytotoxicity.	key_sent
891	647	Anticancer activity of thymoquinone in breast cancer cells: possible involvement of PPAR-gamma pathway.	In addition, TQ activated caspases 8, 9 and 7 in a dose-dependent manner.	key_sent
892	647	Anticancer activity of thymoquinone in breast cancer cells: possible involvement of PPAR-gamma pathway.	Migration and invasive properties of MDA-MB-231 cells were also reduced in the presence of TQ.	none_sent
893	647	Anticancer activity of thymoquinone in breast cancer cells: possible involvement of PPAR-gamma pathway.	Interestingly, we report for the first time that TQ was able to increase PPAR-γ activity and down-regulate the expression of the genes for Bcl-2, Bcl-xL and survivin in breast cancer cells.	key_sent
894	647	Anticancer activity of thymoquinone in breast cancer cells: possible involvement of PPAR-gamma pathway.	More importantly, the increase in PPAR-γ activity was prevented in the presence of PPAR-γ specific inhibitor and PPAR-γ dominant negative plasmid, suggesting that TQ may act as a ligand of PPAR-γ.	key_sent
895	647	Anticancer activity of thymoquinone in breast cancer cells: possible involvement of PPAR-gamma pathway.	Also, we observed using molecular docking analysis that TQ indeed formed interactions with 7 polar residues and 6 non-polar residues within the ligand-binding pocket of PPAR-γ that are reported to be critical for its activity.	key_sent
896	647	Anticancer activity of thymoquinone in breast cancer cells: possible involvement of PPAR-gamma pathway.	Taken together, our novel observations suggest that TQ may have potential implication in breast cancer prevention and treatment, and show for the first time that the anti-tumor effect of TQ may also be mediated through	key_sent
897	649	Protective Effect of Rosa damascena Against Aluminum Chloride-Induced Oxidative Stress.	Accordingly, the purpose of this study was to investigate the protective effect of Rosa damascena extract against aluminum-induced oxidative stress.	key_sent
898	649	Protective Effect of Rosa damascena Against Aluminum Chloride-Induced Oxidative Stress.	Glutathione S-transferase activity levels in rats receiving the Rosa damascena extract as well as rats taking aluminum with Rosa damascena extract increased significantly compared with the ones in the control group.	key_sent
899	649	Protective Effect of Rosa damascena Against Aluminum Chloride-Induced Oxidative Stress.	Catalase activity in the aluminum-treated group also increased significantly compared with the rates in the control group (31.34?±?4.50?U/gHb vs. 14.04?±?6.17?U/gHb, p?=?0.014).	key_sent
900	649	Protective Effect of Rosa damascena Against Aluminum Chloride-Induced Oxidative Stress.	Furthermore, myeloperoxidase activity in the aluminum-treated group increased significantly compared with the control group (49.47?±?5.12?U/L vs. 25.28?±?2.18?U/L, p?<?0.001).	key_sent
901	649	Protective Effect of Rosa damascena Against Aluminum Chloride-Induced Oxidative Stress.	The Rosa damascena extract could improve antioxidant capacity and reduce oxidative conditions in rats receiving aluminum chloride as evidenced by assays of the ferric reducing ability of plasma and activity of antioxidant enzymes.	key_sent
902	649	Protective Effect of Rosa damascena Against Aluminum Chloride-Induced Oxidative Stress.	According to the findings of this study, it can be concluded that the Rosa damascena extract with its high antioxidant content is able to exert a protective effect against aluminum-induced oxidative stress.	key_sent
903	650	20(S)-ginsenoside Rg3 enhances glucose-stimulated insulin secretion and activates AMPK.	In our preliminary studies, protopanaxadiol ginsenosides showed the insulin secretion-stimulating activity.	none_sent
904	650	20(S)-ginsenoside Rg3 enhances glucose-stimulated insulin secretion and activates AMPK.	In HIT-T15 cells, Rg3 enhanced the insulin secretion in a concentration dependent manner.	key_sent
905	650	20(S)-ginsenoside Rg3 enhances glucose-stimulated insulin secretion and activates AMPK.	This effect, however, was almost completely abolished in the presence of diazoxide (K+ channel opener) or nifedipine (Ca2+ channel blocker).	key_sent
906	650	20(S)-ginsenoside Rg3 enhances glucose-stimulated insulin secretion and activates AMPK.	Oral glucose tolerance test (OGTT) was also performed using ICR mice and Rg3 suppressed the blood glucose levels from rising by enhancing an insulin secretion at 30 min after administration.	key_sent
907	650	20(S)-ginsenoside Rg3 enhances glucose-stimulated insulin secretion and activates AMPK.	From these studies, we may conclude that Rg3 lowered the plasma glucose level by stimulating an insulin secretion and this action was presumably associated with ATP sensitive K+ channel.	none_sent
908	650	20(S)-ginsenoside Rg3 enhances glucose-stimulated insulin secretion and activates AMPK.	Next, to explore the hypothesis that ginsenoside Rg3 epimers may exhibit differential effects, glucose-stimulated insulin secretion activity and phosphorylation of AMP-activated protein kinase (AMPK) were compared between 20(S)- and 20(R)-ginsenoside Rg3.	none_sent
909	650	20(S)-ginsenoside Rg3 enhances glucose-stimulated insulin secretion and activates AMPK.	5 microM of 20(S)-Rg3 enhanced the glucose-stimulated insulin secretion by 58% compared to the control, but 20(R)-Rg3 did not show any effect.	key_sent
910	650	20(S)-ginsenoside Rg3 enhances glucose-stimulated insulin secretion and activates AMPK.	In C2C12 myotubes, 20(S)- and 20(R)-Rg3 both markedly phosphorylated AMPK and acetyl-CoA carboxylase (ACC), although 20(R)-Rg3 showed a little less effect.	key_sent
911	650	20(S)-ginsenoside Rg3 enhances glucose-stimulated insulin secretion and activates AMPK.	Taken together, our results suggest that ginsenoside Rg3 epimers showed differential activities, and 20(S)-Rg3 epimer exhibited the higher pharmacological effects in insulin secretion and AMPK activation than 20(R)-Rg3.	key_sent
912	652	Effects of resveratrol on Th17 cell-related immune responses under tacrolimus-based immunosuppression.	RESULTS: In PBMCs, Tac did not but combination of Tac and Resv further suppressed Th17 immune response.	key_sent
913	652	Effects of resveratrol on Th17 cell-related immune responses under tacrolimus-based immunosuppression.	In the co-culture study, combination of Resv to Tac significantly decreased HRPTEpiC-induced T cell proliferation compared to Tac alone.	key_sent
914	652	Effects of resveratrol on Th17 cell-related immune responses under tacrolimus-based immunosuppression.	Resv treatment in the Jurkat cell induced the expression of AMP-activated protein kinase and suppressed the expression of mammalian target of rapamycin (mTOR), suggesting blocking Th17 pathway by Resv.	key_sent
915	652	Effects of resveratrol on Th17 cell-related immune responses under tacrolimus-based immunosuppression.	In the murine skin transplant model, combination of Resv to Tac significantly prolonged skin graft survival accompanied by the suppression of Th17 cells, compared to either the Tac-alone or control groups.	key_sent
916	652	Effects of resveratrol on Th17 cell-related immune responses under tacrolimus-based immunosuppression.	CONCLUSION: The results of our study suggest that Resv provides additional immunosuppressive effects to Tac by suppressing effector CD4+ T cells, especially Th17 cells, in the transplantation setting.	key_sent
917	653	Green tea extract modulates oxidative tissue injury in beta-thalassemic mice by chelation of redox iron and inhibition of lipid peroxidation.	We investigated the effects of GTE and deferiprone (DFP) alone in combination with one another, and upon the levels of redox-active iron, lipid-peroxidation product, insulin and hepcidin in BKO mice.	none_sent
918	653	Green tea extract modulates oxidative tissue injury in beta-thalassemic mice by chelation of redox iron and inhibition of lipid peroxidation.	However, the combination therapy demonstrated no advantages over monotherapy.	key_sent
919	654	Optimization of green synthesis of silver nanoparticles from leaf extracts of Pimenta dioica (Allspice).	Three different sets of leaves were utilized for the synthesis of nanoparticles-fresh, hot-air oven dried, and sun-dried.	none_sent
920	654	Optimization of green synthesis of silver nanoparticles from leaf extracts of Pimenta dioica (Allspice).	possessed the smallest sizes.	none_sent
921	655	Involvement of energy metabolism to chilling tolerance induced by hydrogen sulfide in cold-stored banana fruit.	H2S treated banana fruit showed both higher value of firmness and Hue angle, as well as lower value of electrolyte leakage, malondialdehyde (MDA) content and ethylene production.	none_sent
922	658	Antimutagenic Effect of Hibiscus sabdariffa L. Aqueous Extract on Rats Treated with Monosodium Glutamate.	The group treated with the aqueous extract of H. sabdariffa revealed a 91% reduction in micronucleus frequency when compared with the positive control group.	supporting_sent
923	658	Antimutagenic Effect of Hibiscus sabdariffa L. Aqueous Extract on Rats Treated with Monosodium Glutamate.	Under the conditions tested, H. sabdariffa L. presented a protective effect to CPA-induced damage to DNA of the treated animals, and it is a potential candidate as a chemopreventive agent against carcinogene	key_sent
924	659	Novel swellable polymer of orchidaceae family for gastroretentive drug delivery of famotidine.	Results demonstrated that all formulations were able to sustain the drug release for more than 24 hours.	none_sent
925	659	Novel swellable polymer of orchidaceae family for gastroretentive drug delivery of famotidine.	We conclude that salep, a novel polymer, can be used in controlled release formulations to sustain release for 24 hours, due to inherent swelling and gelling propert	foodeffect_sent
926	660	The evaluation of 3 diets for rearing Hyalella azteca and the influence of diet on acute ammonia toxicity.	Of the diets evaluated, H. azteca reared on the FF-D diet were often significantly more resistant to total and un-ionized ammonia toxicity in acute 96-h testing than those reared on the other 2 diets across the 2 temperatures and 5 pHs tested, suggesting this may be the most optimal diet for this species.	key_sent
927	662	Survival of patients with chronic myelogenous leukaemia relapsing after bone marrow transplantation: comparison with patients receiving conventional chemotherapy.	 Treatment with busulphan and/or hydroxyurea rarely produces remission in patients with chronic myelogenous leukaemia (CML) in chronic phase.	none_sent
928	662	Survival of patients with chronic myelogenous leukaemia relapsing after bone marrow transplantation: comparison with patients receiving conventional chemotherapy.	HLA-identical sibling transplants almost always produce remission, and only about 20% of patients relapse post-transplant.	none_sent
929	662	Survival of patients with chronic myelogenous leukaemia relapsing after bone marrow transplantation: comparison with patients receiving conventional chemotherapy.	The chemotherapy cohort included 344 adults &lt; 50 years of age treated on consecutive trials of the Italian Cooperative Study Group on CML between 1973 and 1986.	none_sent
930	662	Survival of patients with chronic myelogenous leukaemia relapsing after bone marrow transplantation: comparison with patients receiving conventional chemotherapy.	There was no difference in survival of patients relapsing after T-cell depleted and non-T-cell-depleted transplants.	none_sent
931	667	Involvement of metallothionein, homocysteine and B-vitamins in the attenuation of arsenic-induced uterine disorders in response to the oral application of hydro-ethanolic extract of Moringa oleifera seed: a preliminary study.	In addition, there was a significant depletion of Vitamin-B9 (folate) and B12 following As3+ ingestion.	none_sent
932	667	Involvement of metallothionein, homocysteine and B-vitamins in the attenuation of arsenic-induced uterine disorders in response to the oral application of hydro-ethanolic extract of Moringa oleifera seed: a preliminary study.	The levels of circulating TNF-α, homocysteine (Hcy), uterine-IL-6, and liver metallothionein (MT-1) were significantly elevated in arsenic treated rats.	key_sent
933	667	Involvement of metallothionein, homocysteine and B-vitamins in the attenuation of arsenic-induced uterine disorders in response to the oral application of hydro-ethanolic extract of Moringa oleifera seed: a preliminary study.	MO at a dose of 100?mg/kg body-weight could successfully mitigate the uterine ROS generation by maintaining the uterine antioxidant status in As3+- treated rats.	key_sent
934	667	Involvement of metallothionein, homocysteine and B-vitamins in the attenuation of arsenic-induced uterine disorders in response to the oral application of hydro-ethanolic extract of Moringa oleifera seed: a preliminary study.	This seed extract prevented the deterioration of As3+-mediated ovarian-steroidogenesis and ovarian and uterine histoarchitecture significantly.	key_sent
935	667	Involvement of metallothionein, homocysteine and B-vitamins in the attenuation of arsenic-induced uterine disorders in response to the oral application of hydro-ethanolic extract of Moringa oleifera seed: a preliminary study.	B9 and B12 levels were also improved following the ingestion of the MO extract in arsenicated animals.	key_sent
936	667	Involvement of metallothionein, homocysteine and B-vitamins in the attenuation of arsenic-induced uterine disorders in response to the oral application of hydro-ethanolic extract of Moringa oleifera seed: a preliminary study.	Elevation of Hcy, TNF-α and IL-6 was also prevented by this MO seed extract in As3+-treated rats.	key_sent
937	667	Involvement of metallothionein, homocysteine and B-vitamins in the attenuation of arsenic-induced uterine disorders in response to the oral application of hydro-ethanolic extract of Moringa oleifera seed: a preliminary study.	A further increase of MT-1 level was achieved after MO ingestion in As3+-treated rats.	key_sent
938	670	Mangiferin Inhibits Renal Urate Reabsorption by Modulating Urate Transporters in Experimental Hyperuricemia.	Mangiferin, a natural glucosyl xanthone from the leaves of Mangifera indica L., was previously shown to exert potent hypouricemic effects associated with inhibition of the activity of xanthine dehydrogenase/oxidase.	key_sent
939	670	Mangiferin Inhibits Renal Urate Reabsorption by Modulating Urate Transporters in Experimental Hyperuricemia.	The mRNA and protein levels of renal urate-anion transporter 1 (URAT1), organic anion transporter 10 (OAT10), glucose transporter 9 (GLUT9), and PDZ domain-containing protein (PDZK1) were analyzed.	none_sent
940	670	Mangiferin Inhibits Renal Urate Reabsorption by Modulating Urate Transporters in Experimental Hyperuricemia.	In hyperuricemic rats, mangiferin also reduced the serum urate levels and increased the urinary urate levels and FEUA.	none_sent
941	670	Mangiferin Inhibits Renal Urate Reabsorption by Modulating Urate Transporters in Experimental Hyperuricemia.	Further examination showed that mangiferin markedly inhibited the mRNA and protein expression of renal URAT1, OAT10, and GLUT9 in hyperuricemic rats, but did not interfere with PDZK1 expression.	key_sent
942	671	Determination of synthetic phenolic antioxidants in edible oils using microvial insert large volume injection gas-chromatography.	Three synthetic phenolic antioxidants, butylated hydroxyanisole (BHA), butylated hydroxytoluene (BHT) and?tert-butyl hydroquinone (TBHQ), were determined in different edible vegetable oil samples.	none_sent
943	673	Berberine against gastrointestinal peptides elevation and mucous secretion in hyperthyroid diarrheic rats.	 To investigate the underlying mechanisms of Berberine-mediated antidiarrheal effects in thyroid hormone-induced diarrhea in rats, gastrointestinal peptides, such as motilin, gastrin, vasoactive intestinal peptide, and somatostatin from plasma and tissue of hyperthyroid diarrheic rats were measured using radioimmunoassay in healthy control, model, and treated model groups.	supporting_sent
944	673	Berberine against gastrointestinal peptides elevation and mucous secretion in hyperthyroid diarrheic rats.	Both plasma motilin and gastrin were also elevated and reduced remarkably in Berberine-treated subgroup along with the body weight increased and wet stool reduced at the meantime.	key_sent
945	673	Berberine against gastrointestinal peptides elevation and mucous secretion in hyperthyroid diarrheic rats.	Significant changes in plasma vasoactive intestinal peptide and somatostatin were not seen.	key_sent
946	673	Berberine against gastrointestinal peptides elevation and mucous secretion in hyperthyroid diarrheic rats.	Morphological data demonstrated an increase in number and/or volume of goblet cells to some extent in duodenum, jejunum, ileum, and colon, respectively and decreased by administration of Berberine.	key_sent
947	678	Antioxidant and alpha-glucosidase inhibitory phenolics isolated from highbush blueberry flowers.	 Blueberries have been extensively researched, but there are limited studies on other parts of the plant.	none_sent
948	678	Antioxidant and alpha-glucosidase inhibitory phenolics isolated from highbush blueberry flowers.	Similarly, these phenolic sub-classes were more potent α-glucosidase inhibitors than the clinical drug, acarbose (IC(50)=200μM).	key_sent
949	679	Formulation, in vitro and in vivo evaluation of transdermal patches containing risperidone.	 The efficacy of oral risperidone treatment in prevention of schizophrenia is well known.	none_sent
950	679	Formulation, in vitro and in vivo evaluation of transdermal patches containing risperidone.	However, oral side effects and patient compliance is always a problem for schizophrenics.	none_sent
951	679	Formulation, in vitro and in vivo evaluation of transdermal patches containing risperidone.	The transdermal patches containing risperidone were prepared by solvent casting method and characterized for physicochemical and in vitro permeation studies through excised rat skin.	none_sent
952	680	Is periconceptional use of folic acid associated with a reduced risk of cleft lip with or without cleft palate .	 A recently observed decrease in the prevalence of cleft lip with or without cleft palate in the United States was associated with the folic acid fortification of enriched cereal grains, which became mandatory in 1998.	none_sent
953	680	Is periconceptional use of folic acid associated with a reduced risk of cleft lip with or without cleft palate .	Several case-control and one prospective study found an inverse association between intake of folic acid and/or multivitamins and the risk of cleft lip with or without cleft palate.	none_sent
954	680	Is periconceptional use of folic acid associated with a reduced risk of cleft lip with or without cleft palate .	A randomized trial to prove causality would be unethical, due to the established relationship between neural tube defects and periconceptional folic acid use.	none_sent
955	681	The effect of raw vegetable and fruit intake on thyroid cancer risk among women: a case-control study in South Korea.	We included 111 histologically confirmed malignant thyroid cancer cases and 115 benign cases.	none_sent
956	681	The effect of raw vegetable and fruit intake on thyroid cancer risk among women: a case-control study in South Korea.	Conditional logistic regression analysis was used to obtain OR and corresponding 95 % CI.	none_sent
957	681	The effect of raw vegetable and fruit intake on thyroid cancer risk among women: a case-control study in South Korea.	These results suggest that high consumption of raw vegetables, persimmons and tangerines may decrease thyroid cancer risk and help prevent early-stage thyroid can	none_sent
958	684	An efficient in vitro propagation protocol of cocoyam Xanthosoma sagittifolium (L) Schott.	Shoots produced with BAP were larger and more normal in appearance than those produced with TDZ, which were small, compressed, and stunted.	none_sent
959	685	Effect of cinnamon and its procyanidin-B2 enriched fraction on diabetic nephropathy in rats.	Evaluation of glomerular markers that serve as indicators of renal function was done by immunohistochemistry, immunoblotting and qRT-PCR.	none_sent
960	686	Lycium barbarum polysaccharides reduce intestinal ischemia/reperfusion injuries in rats.	The purpose of the present study was to assess the effects and potential mechanisms of LBPs in intestinal IRI.	none_sent
961	686	Lycium barbarum polysaccharides reduce intestinal ischemia/reperfusion injuries in rats.	In addition, LBPs inhibited PMN accumulation and ICAM-1 expression and ameliorated changes in the TNF-α level, NF-κB activation, intestinal permeability, and histology.	key_sent
962	689	Protective effects of Punica granatum (pomegranate) peel extract on concanavalin A-induced autoimmune hepatitis in mice.	Pretreatment with PoPx significantly alleviated ConA-induced liver injury by down-regulating the levels of plasma alanine transaminase (ALT), aspartate transaminase (AST) and cytokine, including TNF-α, interferon (IFN) -γ and interleukin (IL)-6.	key_sent
963	689	Protective effects of Punica granatum (pomegranate) peel extract on concanavalin A-induced autoimmune hepatitis in mice.	In addition, the flow cytometry (FCM) data showed that the immune response in the liver was died down in the PoPx-pretreated condition.	none_sent
964	691	Impact of imatinib therapy on the use of allogeneic haematopoietic progenitor cell transplantation for the treatment of chronic myeloid leukaemia.	We compared numbers and types of allogeneic HCTs performed for CML in North America before and after the introduction of imatinib, and publication of the International Randomized Trial of Interferon and STI571 (IRIS) using transplants reported to the Center for International Blood and Marrow Transplant Research (CIBMTR).	none_sent
965	691	Impact of imatinib therapy on the use of allogeneic haematopoietic progenitor cell transplantation for the treatment of chronic myeloid leukaemia.	Most patients now receive a trial of imatinib before proceeding to	none_sent
966	692	Fruit juice inhibition of uptake transport: a new type of food-drug interaction.	These juices at high volume dramatically depressed oral fexofenadine bioavailability.	key_sent
967	692	Fruit juice inhibition of uptake transport: a new type of food-drug interaction.	Grapefruit juice lowered the oral bioavailability of several medications transported by OATP1A2 (acebutolol, celiprolol, fexofenadine, talinolol, L-thyroxine) while orange juice did the same for others (atenolol, celiprolol, ciprofloxacin, fexofenadine).	key_sent
968	693	Anti-obesity effect of Dioscorea nipponica Makino with lipase-inhibitory activity in rodents.	 In the process of screening for pancreatic lipase inhibitors, which could be used as an anti-obesity measure, the methanol extract of Dioscorea nipponica Makino powder (DP) appeared to have potent inhibitory activity against porcine pancreatic lipase with an IC50 value of 5-10 microg/ml, where the enzyme activity was assayed by using 4-methylumbelliferyl oleate as a substrate.	supporting_sent
969	693	Anti-obesity effect of Dioscorea nipponica Makino with lipase-inhibitory activity in rodents.	Dioscin and its aglycone, diosgenin, both suppressed the time-dependent increase of blood triacylglycerol level when orally injected with corn oil to mice, suggesting their inhibitory potential against fat absorption.	key_sent
970	693	Anti-obesity effect of Dioscorea nipponica Makino with lipase-inhibitory activity in rodents.	Sprague-Dawley rats fed on a high-fat diet containing 5% Dioscorea nipponica Makino and 40% beef tallow gained significantly less body weight and adipose tissue than control animals fed on a high-fat diet alone during an 8-week experimental period (P&lt;0.	key_sent
971	694	Chemical composition and antioxidant capacity of different anatomical parts of pear (Pyrus communis L.).	The highest concentration of triterpenoids (3460.5 μg/g DM) was determined in pear peel, and ursolic acid was predominant.	none_sent
972	697	Effect of zinc supplementation on incidence of infections and hospital admissions in sickle cell disease (SCD).	Gr B subjects were observed for 1 year (baseline), following which they received placebo for 1 year and then switched to zinc supplementation (50 to 75 mg of elemental zinc orally daily) for 2 years.	none_sent
973	697	Effect of zinc supplementation on incidence of infections and hospital admissions in sickle cell disease (SCD).	Gr C subjects did not receive any intervention inasmuch as they were zinc sufficient.	none_sent
974	697	Effect of zinc supplementation on incidence of infections and hospital admissions in sickle cell disease (SCD).	Prolonged zinc supplementation resulted in an increase in lymphocyte and granulocyte zinc (P = 0.0001), and an increase in interleukin-2 production (P = 0.0001), decreased incidence of documented bacteriologically positive infections (P = 0.0026), decreased number of hospitalizations and decreased number of vaso-occlusive pain crisis (P = 0.0001).	key_sent
975	699	Functional myo-inositol catabolic genes of Bacillus subtilis Natto are involved in depletion of pinitol in Natto (fermented soybean).	 Soybeans are rich in pinitol (PI; 3-O-methyl-D-chiro-inositol), which improves health by treating conditions associated with insulin resistance, such as diabetes mellitus and obesity.	key_sent
976	699	Functional myo-inositol catabolic genes of Bacillus subtilis Natto are involved in depletion of pinitol in Natto (fermented soybean).	Natto is a food made from soybeans fermented by strains of Bacillus subtilis natto.	none_sent
977	699	Functional myo-inositol catabolic genes of Bacillus subtilis Natto are involved in depletion of pinitol in Natto (fermented soybean).	PI also induced inositol dehydrogenase and the promoter was indispensable for the utilization of PI as well as MI, suggesting that PI might be an alternative carbon source metabolized in a way involving the MI catabolic genes.	key_sent
978	700	Free and glycosidically bound aroma compounds in cherry (Prunus avium L.).	Odour activity values (OAVs) were determined for both free and bound volatiles, with 18 compounds having an OAV above 1.	none_sent
979	700	Free and glycosidically bound aroma compounds in cherry (Prunus avium L.).	From these results, it was concluded that the aroma compounds present were similar in all three cultivars, but there was significant variation found in their levels and	none_sent
980	701	Putative Effect of Spirulina Extract on Enzyme Activities Participating in Lipid and Carbohydrate Digestion Processes.	As a primary screening of effective substances to delay and lower the digestion and absorption processes among natural materials, the protein-deprived extract was prepared from blue-green algae Spirulina platensis, and the effect of this extract on lipase and α-glucosidase activities was examined.	none_sent
981	701	Putative Effect of Spirulina Extract on Enzyme Activities Participating in Lipid and Carbohydrate Digestion Processes.	The extract was shown to inhibit lipase activity but not α-glucosidase activity, thus proposing the possibility that the extract prevented the postprandial elevation of blood triglyceride (TG) levels as a result of reducing the digestion and absorption of lipids in the intestinal tract.	key_sent
982	702	Lectin binding sites in normal rat ovary and ENU-induced Sertoli cell tumors of the ovaries.	Ten SCT and 5 normal ovaries derived from Berlin Druckey IV (BD-IV) rats were examined by FITC lectins.	none_sent
983	702	Lectin binding sites in normal rat ovary and ENU-induced Sertoli cell tumors of the ovaries.	The zona pellucida was strongly labeled with lectin derived from Triticum vulgaris, Ricinus communis (RCA) and moderately with lectin derived from Arachis hypogeae.	none_sent
984	704	Chlorocoulometric determination of primaquine.	Accurate and reproducible results have been obtained in the assay of small amounts of primaquine.	none_sent
985	707	Heterocyclic compounds from Chrysanthemum coronarium L. and their inhibitory activity on hACAT-1, hACAT-2, and LDL-oxidation.	Compound 2 inhibited low-density lipoprotein (LDL) oxidation with an IC(50) value of 7.7 microM.	key_sent
986	708	Anti-platelet effects of flavonoids and flavonoid-glycosides from Sophora japonica.	Among the compounds, 1, 3, and 7 showed approximately 2.5-6.5 fold greater inhibitory effects on arachidonic acid (AA) and U46619 induced platelet aggregation (IC50: 19.9 and 99.8 microM; 20.3 and 53.8 microM; 25.9 and 123.4 microM, respectively) than acetylsalicylic acid (ASA, IC50: 63.0 and 350.0 microM).	key_sent
987	708	Anti-platelet effects of flavonoids and flavonoid-glycosides from Sophora japonica.	Compound 2 was an approximately 22-40 fold stronger inhibitor than ASA on AA and U46619 induced aggregation (IC50: 1.6 and 15.6 microM, respectively).	none_sent
