	evidence_level	document_idx	title	sentences
13877	others	1648	A simplified HPLC method for determination of tryptophan in some cereals and legumes.	['In the present study, a simple analytical method is proposed for determining tryptophan, and method is validated on some cereal and legume samples.', 'In the method alkaline hydrolysis of proteins was used due to the destruction of tryptophan structure during acid hydrolysis.', 'Following alkaline hydrolysis (120°C for 12h), hydrolysates are filtered through ashless filter paper and pH values are adjusted with hydrochloric acid solution.', 'Separation and detection of tryptophan are performed on a reversed-phase column with fluorescence detection within 10min by using a mobile phase of acetonitrile and acetate buffer of pH 6.3 (1:9, v/v).', 'For determination of tryptophan content, the procedure described in the study offers an alternative analysis method by enabling high speed analysis and the use of simple']
7473	animal in-vivo	880	Covalent Immobilization of Enoxacin onto Titanium Implant Surfaces for Inhibiting Multiple Bacterial Species Infection and In Vivo Methicillin-Resistant Staphylococcus aureus Infection Prophylaxis.	['Infection is one of the most important causes of titanium implant failure in vivo A developing prophylactic method involves the immobilization of antibiotics, especially vancomycin, onto the surface of the titanium implant.', 'However, these methods have a limited effect in curbing multiple bacterial infections due to antibiotic specificity.', 'In the current study, enoxacin was covalently bound to an amine-functionalized Ti surface by use of a polyethylene glycol (PEG) spacer, and the bactericidal effectiveness was investigated in vitro and in vivo The titanium surface was amine functionalized with 3-aminopropyltriethoxysilane (APTES), through which PEG spacer molecules were covalently immobilized onto the titanium, and then the enoxacin was covalently bound to the PEG, which was confirmed by X-ray photoelectron spectrometry (XPS).', 'A spread plate assay, confocal laser scanning microscopy (CLSM), and scanning electron microscopy (SEM) were used to characterize the antimicrobial activity.', 'For the in vivo study, Ti implants were inoculated with methicillin-resistant Staphylococcus aureus (MRSA) and implanted into the femoral medullary cavity of rats.', 'The degree of infection was assessed by radiography, micro-computed tomography, and determination of the counts of adherent bacteria 3 weeks after surgery.', 'Our data demonstrate that the enoxacin-modified PEGylated Ti surface effectively prevented bacterial colonization without compromising cell viability, adhesion, or proliferation in vitro Furthermore, it prevented MRSA infection of the Ti implants in vivo Taken together, our results demonstrate that the use of enoxacin-modified Ti is a potential approach to the alleviation of infec']
7898	others	931	Obtaining lipases from byproducts of orange juice processing.	['The presence of lipases was observed in three byproducts of orange juice processing: peel, core and frit.', 'The enzymes were characterised biochemically over a wide pH range from neutral (6-7) to alkaline (8-9).', 'The optimal temperature for the activity of these byproducts showed wide range at 20°C to 70°C, indicating fairly high thermostability.', 'The activities were monitored on p-NP-butyrate, p-NP-laurate and p-NP-palmitate.', 'For the first time, lipase activity was detected in these residues, reaching 68.5 lipase U/']
15525	RCTs	1854	In vivo administration of azithromycin affects lymphocyte activity in vitro.	['A therapeutic dose of azithromycin was administered to test subjects and then the following lymphocyte functions were examined in vitro: proliferative lymphocyte response to stimulation with pokeweed mitogen, levels of immunoglobulins G, A, and M in serum, and the amount of the soluble interleukin 2 receptors in supernatants of mononuclear cell cultures stimulated with phytohemagglutinin and phorbol myristate acetate.', 'The study was performed as a controlled clinical trial comparing an azithromycin-treated group (n = 21) and a placebo-treated control group (n = 10).', 'Healthy female volunteers were placed into one of the two groups, and the study was performed as a double-blind trial.', 'Although the findings of the present study showed that azithromycin significantly increased the proliferative lymphocyte response to pokeweed mitogen, the results could have been due to experimental variation.', 'However, impairment of the lymphocyte function was not observed, which could represent valuable information.', 'Likewise, no effect of azithromycin on levels of the immunoglobulins in serum was observed.', 'The most marked effect of azithromycin on the lymphocyte function was demonstrated by an elevation in the amount of soluble interleukin 2 receptor production in mononuclear cell cultures.', 'The lack of impairment or, perhaps, even a beneficial influence on the immunodefense system may be an important property of azithromycin, especially in immunocompromised individu']
3895	animal in-vivo	459	High-dose clastogenic activity of aniline in the rat bone marrow and its relationship to the carcinogenicity in the spleen of rats.	['To clarify the question of clastogenicity of aniline in rats two studies were performed: a bone marrow micronucleus test and a bone marrow metaphase test.', 'In the micronucleus test aniline (as aniline hydrochloride) was administered to groups of seven male PVG rats at single oral doses of 0, 300, 400, or 500 mg/kg body weight.', 'Bone marrow was obtained 24 and 48 h after oral treatment.', 'Smears of bone marrow were stained with acridine orange and erythrocytes were examined for the presence of micronuclei.', 'Animals receiving cyclophosphamide (1x7.5 mg/kg) served as positive controls.', 'Clinical signs observed in animals dosed at 300 mg/kg and above included cyanosis, light brown coloured urine and cold to touch.', 'Small, but statistically significant and dose-related increases in the incidence of micronulei over the vehicle control values were observed at the 24-h sampling time only.', 'Cyclophosphamide induced a significant and comparably much higher increase in micronuclei than aniline.', 'In the bone marrow metaphase test aniline (as aniline hydrochloride) was administered to groups of seven male PVG rats at single oral dose levels of 0, 300, 400, or 500 mg/kg body weight.', 'Bone marrow was sampled 18 and 30 h after dosing.', 'A group treated with cyclophosphamide (1x40 mg/kg) served as positive control.', 'A small increase in the percentage of aberrant cells above solvent control values was recorded in one rat at 400 mg/kg and four rats at 500 mg/kg at the 18-h sampling time only.', 'The positive control cyclophosphamide induced a much higher rate of aberrant cells in all animals.', 'Several lines of evidences are presented against a causal relationship between the clastogenic activity in male PVG rats at 400 and 500 mg/kg and the carcinogenicity in the spleen of Fischer 344 rats starting at 30 mg/kg in males.', 'Among these are the dose-response relationship of the tumour incidence, the close correlation between degree of spleen damage and tumour induction, the lack of carcinogenic effects in mice even at higher dose levels, or in rats at dose levels inducing only slight haematotoxicity and spleen toxicity, and the available data on the mode of action of other chemicals inducing spleen tumo']
12108	in-vitro	1438	Anti-inflammatory effect of resveratrol in human coronary arterial endothelial cells via induction of autophagy: implication for the treatment of Kawasaki disease.	['Kawasaki disease (KD) is an acute febrile vasculitis in childhood, which is the leading cause of acquired heart disease in children.', 'If untreated, KD can result in coronary aneurysms in 25% of patients, and even under intravenous immunoglobulin (IVIG) treatment, 10-20% of children will have IVIG resistance and increased risk of developing coronary arteritis complication.', 'Additional therapies should be explored to decrease the incidence of coronary artery lesions and improve the prognosis in KD.', 'Autophagy has been reported to play a critical role in a variety of heart diseases.', 'Resveratrol (RSV) confers cardio protection during ischemia and reperfusion in rats via activation of autophagy.', 'Serum TNF-alpha levels are elevated in KD, which might activate the endothelial cells to express intercellular adhesion molecule-1 (ICAM-1), vascular cellular adhesion molecule-1(VCAM-1), inducible nitric oxide synthase (iNOS) and IL-1beta.Human coronary arterial endothelial cells (HCAECs) were either untreated or treated by TNF-alpha 10 ng/ml for 2 h in the presence or absence of RSV or autophagy-related protein 16-like 1 (Atg16L1) siRNA.', 'Total RNA was analyzed by real-time quantitative PCR for ICAM-1, VCAM-1, iNOS and IL-1beta mRNA expressions.', 'The involvement of autophagy proteins was investigated by Western blot.Pretreatment with resveratrol significantly inhibited TNF-alpha-induced ICAM-1, iNOS and IL-1beta mRNA expression in HCAECs.', 'Western blot revealed the enhanced autophagy proteins LC3B and Atg16L1 expression by RSV.', 'The suppressive effects of RSV were obviously counteracted by Atg16L1 siRNA.We demonstrated RSV had anti-inflammatory effects on HCAECs via induction of autophagy.', 'Our results suggest that resveratrol may modulate the inflammatory response of coronary artery in KD and explore the role of autophagy in the pathogenesis and alternative therapy of coronary arterial lesions in KD.']
9822	animal in-vivo	1157	Zinc finger E-box binding homeobox 1 promotes invasion and bone metastasis of small cell lung cancer in vitro and in vivo.	['Bone is one of the most frequent targets of small cell lung cancer (SCLC) metastasis and is closely associated with a poor prognosis, but the specific cellular gene alterations responsible for SCLC with bone metastasis are unclear.', 'Zinc finger E-box binding homeobox 1 (ZEB1) as an E-box transcriptional repressor has been suggested that an important inducer of the epithelial-mesenchymal transition (EMT) and a promoter of tumor metastasis in colon, breast and lung cancers.', 'However, the relationship between ZEB1 and SCLC with bone metastasis is unclear.', 'In this study, ZEB1 was found to be highly expressed in bone-metastatic SCLC tissues and cell lines as compared with those that were non-metastatic (P < 0.05).', 'Using a lentivirus RNA interference technique to knockdown ZEB1 expression in bone-metastatic SCLC cells (SBC-5 cell line), we found that ZEB1 siRNA could inhibit the invasive and migratory ability and decrease parathyroid hormone-related protein expression, as determined by invasion assays and enzyme-linked immunosorbent assays.', 'Besides, ZEB1 siRNA significantly inhibited the bone metastasis of SBC-5 cells in vivo.', 'Furthermore, overexpression of ZEB1 in SBC-3 cells, which demonstrate promoted bone-metastatic potential, dramatically promoted their invasive and migratory ability and parathyroid hormone-related protein expression as well as increased the number and sites of bone metastases in vivo compare to the control group.', 'We also found that SBC-3 cells underwent EMT, as indicated by decreased epithelial markers and increased mesenchymal marker expression.', 'Taken together, these results indicate that ZEB1 promoted the invasive ability and bone metastasis of SCLC cells, and that this was partially mediated via the EMT pathway.']
15455	in-vitro	1843	Phytochemical compositions of extract from peel of hawthorn fruit, and its antioxidant capacity, cell growth inhibition, and acetylcholinesterase inhibitory activity.	"['Hawthorn fruit (HF) is a well-known traditional medicine in China with the effects of improving digestion and regulating qi-flowing for removing blood stasis.', 'Modern pharmacological experiments showed that HF extract has various pharmaceutical properties and flavonoids are considered as the main bioactive compounds.', 'In this paper, Diaion HP-20 adsorption chromatography was used to enrich flavonoids in PHF, and the phytochemical composition of EPHF was analyzed by high performance liquid chromatography (HPLC) and liquid chromatography tandem mass spectrometry (LC-MS).', ""In addition, EPHF's antioxidant capacity, acetylcholinesterase (AChE) inhibitory activity and cytotoxic activity were evaluated.EPHF was obtained by Diaion HP-20 adsorption chromatography."", 'Phytochemical composition of EPHF was analyzed qualitatively and quantitatively using HPLC and LC-MS.', 'Radical scavenging capacity of EPHF was estimated using 2,2-diphenyl-1-picryhydrazyl (DPPH) assay and oxygen radical absorbance capacity (ORAC) assay.', 'The AChE inhibitory activity of EPHF was evaluated by Ellman method.', 'Cytotoxic activity of EPHF was assessed by means of MTT assay.Eight kinds of components were identified, in which ideain with the value of 179.4 mg/g was identified to be present in the highest level in EPHF, followed by (-)-epicatechin, chlorogenic acid, cyanidin 3-arabinoside, hyperoside and isoquercitrin at the concentrations of 40.9, 10.0, 1.4, 0.4 and 0.2 mg/g, respectively.', 'The contents of these compounds in EPHF were much higher than those in PHF and HF.', 'In addition, EPHF exhibited strong antioxidant and AChE inhibitory activity (ORAC value: 11.65 ± 2.37 microM Trolox equivalents (TE)/mg, DPPH ICMacroporous resin is useful for the extraction and separation of the total flavonoids from PHF.', 'The contents of flavonoids especially anthocyanin in EPHF were increased significantly compared with the PHF, and EPHF exhibited strong antioxidant, AChE inhibitory activity and cytotoxicity on human tumour cells.']"
13540	in-vitro	1611	Hyperforin is a dual inhibitor of cyclooxygenase-1 and 5-lipoxygenase.	"[""The acylphloroglucinol derivative hyperforin is the major lipophilic constituent in the herb Hypericum perforatum (St. John's wort)."", 'The aim of the present study was to investigate if hyperforin as well as extracts of H. perforatum can suppresses the activities of 5-lipoxygenase (5-LO) and cyclooxygenases (COX), key enzymes in the formation of proinflammatory eicosanoids from arachidonic acid (AA).', 'In freshly isolated human polymorphonuclear leukocytes stimulated with Ca(2+) ionophore A23187, hyperforin inhibited 5-LO product formation with IC(50) values of about 1-2 microM, in the absence or presence of exogenous AA (20 microM), respectively, being almost equipotent to the well-documented 5-LO inhibitor zileuton (IC(50) = 0.5-1 microM).', 'Experiments with purified human 5-LO demonstrate that hyperforin is a direct 5-LO inhibitor (IC(50) approximately 90 nM), acting in an uncompetitive fashion.', 'In thrombin- or ionophore-stimulated human platelets, hyperforin suppressed COX-1 product (12(S)-hydroxyheptadecatrienoic acid) formation with an IC(50) of 0.3 and 3 microM, respectively, being about 3- to 18-fold more potent than aspirin.', 'At similar concentrations, hyperforin suppressed COX-1 activity in platelets in presence of exogenous AA (20 microM) as well as in cell-free systems.', 'Hyperforin could not interfere with COX-2 product formation and did not significantly inhibit 12- or 15-LO in platelets or leukocytes, respectively.', 'We conclude that hyperforin acts as a dual inhibitor of 5-LO and COX-1 in intact cells as well as on the catalytic activity of the crude enzymes, suggesting therapeutic potential in inflammatory and allergic diseases connected to eicosanoids.']"
5077	Case report	607	Effect of high-dose cranberry juice on the pharmacodynamics of warfarin in patients.	['Case reports suggest an association between cranberry juice and potentiation of warfarin.', 'Studies using 240 ml of cranberry juice daily demonstrated no interaction.', 'It is unknown if higher amounts of cranberry juice will interact with warfarin.Cranberry juice at 240 ml twice daily does not alter the pharmacodynamics of warfarin.To determine if high-dose cranberry juice (240 ml twice daily) alters the pharmacodynamic action of warfarin.Ten male patients taking stable doses of warfarin were given cranberry juice at 240 ml twice daily for 7 days.', 'Prothrombin times were drawn at baseline and days 2, 6 and 8 after administration of the juice.', 'Prothrombin times were averaged for each day and mean times were compared from each study day to baseline using repeated measures ANOVA.There was no statistical difference between mean prothrombin time at baseline and any day tested during juice administration.Cranberry juice (240 ml twice daily for 1 week) did not alter the pharmacodynamics of warfarin in patients.']
7553	RCTs	889	131I-anti-CD45 antibody plus busulfan and cyclophosphamide before allogeneic hematopoietic cell transplantation for treatment of acute myeloid leukemia in first remission.	['In an attempt to improve outcomes for patients with acute myeloid leukemia (AML) after allogeneic hematopoietic cell transplantation (HCT), we conducted a phase 1/2 study in which targeted irradiation delivered by 131I-anti-CD45 antibody was combined with targeted busulfan (BU; area-under-curve, 600-900 ng/mL) and cyclophosphamide (CY; 120 mg/kg).', 'Fifty-two (88%) of 59 patients receiving a trace 131I-labeled dose of 0.5 mg/kg anti-CD45 murine antibody had higher estimated absorbed radiation in bone marrow and spleen than in any other organ.', 'Forty-six patients were treated with 102 to 298 mCi (3774-11 026 MBq) 131I, delivering an estimated 5.3 to 19 (mean, 11.3) Gy to marrow, 17-72 (mean, 29.7) Gy to spleen, and 3.5 Gy (n = 4) to 5.25 Gy (n = 42) to the liver.', 'The estimated 3-year nonrelapse mortality and disease-free survival (DFS) were 21% and 61%, respectively.', 'These results were compared with those from 509 similar International Bone Marrow Transplant Registry patients who underwent transplantation using BU/CY alone.', 'After adjusting for differences in age and cytogenetics risk, the hazard of mortality among all antibody-treated patients was 0.65 times that of the Registry patients (95% CI 0.39-1.08; P = .09).', 'The addition of targeted hematopoietic irradiation to conventional BU/CY is feasible and well tolerated, and phase 2 results are sufficiently encouraging to warrant further st']
7295	Bioanalysis	860	Analysis of pesticides including chlorine in welsh onions and mushrooms using gas chromatograph with an atomic emission detector (GC-AED).	['An analytical method for the determination of 32 kinds of pesticide residues in onions, Welsh onions and mushrooms using gas chromatograph with an atomic emission detector (GC-AED) was developed.', 'The pesticides were extracted with acetone-n-hexane (2:3) mixture.', 'The crude extract was partitioned between 5% sodium chloride and ethyl acetate-n-hexane (1:4) mixture.', 'The extract was passed through a Florisil mini-column for cleanup with 10 mL of acetone-n-hexane (1:9) mixture.', 'Although the sensitivity of GC-AED was inferior to that of GC-ECD, GC-AED has a superior element-selectivity.', 'Therefore pesticide residues in foods could be analyzed more exactly by using GC-AED.', 'Thirty-two pesticides including chlorine in onion, Welsh onion and shiitake mushroom were detected without interference.', 'Recoveries of these pesticides from samples determined by GC-AED were 64-114%, except for a few pestici']
14351	in-vitro	1708	Sublethal concentrations of the platinum(II) complex Pt(O,O'-acac)(gamma-acac)(DMS) alter the motility and induce anoikis in MCF-7 cells.	"[""We showed previously that a new Pt(II) complex (Pt(O,O'-acac)(gamma-acac)(DMS)) exerted high and fast apoptotic processes in MCF-7 cells."", ""The objective of this study was to investigate the hypothesis that Pt(O,O'-acac)(gamma-acac)(DMS) is also able to exert anoikis and alter the migration ability of MCF-7 cells, and to show some of the signalling events leading to these alterations.Cells were treated with sublethal doses of Pt(O,O'-acac)(gamma-acac)(DMS), and the efficiency of colony initiation and anchorage-independent growth was assayed; cell migration was examined by in vitro culture wounding assay."", ""Gelatin zymography for MMP-2 and -9 activities, Western blottings of MMPs, MAPKs, Src, PKC-epsilon and FAK, after Pt(O,O'-acac)(gamma-acac)(DMS) treatment, were also performed.Sub-cytotoxic drug concentrations decreased the: (i) anchorage-dependent and -independent growth; (ii) migration ability; and (iii) expression and activity of MMP-2 and MMP-9."", ""Pt(O,O'-acac)(gamma-acac)(DMS) provoked the generation of reactive oxygen species (ROS), and the activation of p38MAPK, Src and PKC-epsilon."", ""p38MAPK phosphorylation, cell anoikis and migration due to Pt(O,O'-acac)(gamma-acac)(DMS) were blocked by PKC-epsilon inhibition."", ""Furthermore, Src inhibition blocked the Pt(O,O'-acac)(gamma-acac)(DMS)-provoked activation of PKC-epsilon, while ROS generation blockage inhibited the activation of Src, and also the decrement of phosphorylated FAK observed in detached Pt(O,O'-acac)(gamma-acac)(DMS)-treated cells.Sublethal concentrations of Pt(O,O'-acac)(gamma-acac)(DMS) induced anoikis and prevented events leading to metastasis via alterations in cell migration, anchorage independency, stromal interactions and MMP activity."", ""Hence, Pt(O,O'-acac)(gamma-acac)(DMS) may be a promising therapeutic agent for preventing growth and metastasis of breast cancer.""]"
19245	RCTs	2319	Evaluation of the method for nifedipine administration for a rapid onset of clinical effect: a clinical study in normal volunteers.	['Nifedipine is frequently used for patients who require an immediate reduction of blood pressure elevated temporarily by various administration techniques including sublingual route without administrating intravenous infusion of vasodilator.', 'A cross-over clinical study was conducted to investigate the optimal administration method of nifedipine for rapid management of hypertension.', 'Four method of administering 10 mg nifedipine (the capsule was bitten and swallowed, sublingually with a hole in it or the contents administered orally or intranasally with a syringe) were evaluated with regarded efficacy, safety, and usefulness in 6 normal volunteers.', 'Systolic and diastolic blood pressures were correlated with the nifedipine serum concentration in each method.', 'Nifedipine pharmacokinetic parameters differed among the 4 administration methods.', 'Nifedipine was absorbed rapidly by not only intestinal mucosa but also the nasal or oral mucosa.', 'The pharmacological effect of intranasal or sublingual administration was superior.', 'However, mint oil which is present in nifedipine capsules stimulates nasal mucosa when administered intranasally.', 'For clinical usage, nifedipine capsules in which a hole is made with a needle, administered sublingually, can be effectively and safely used for rapid management of systemic hypertens']
8272	others	971	Antioxidative activity, moisture retention, film formation, and viscosity stability of Auricularia fuscosuccinea, white strain water extract.	"['This study showed that both water extracts (WAF-W) and ethanol extracts (EAF-W) of Auricularia fuscosuccinea (Montagne) Farlow, white strain (AF-W) demonstrated significantly stronger antioxidative effects than did commercially available Tremella fuciformis sporocarp extracts (WSK; with the exception of EAF-W in terms of superoxide radical scavenging activity levels).', 'The moisture retention capacity of WAF-W is as potent as that of sodium hyaluronate (SHA), but less than that of WSK.', 'No corrugation or fissures were observed in WAF-W film; only the SHA and WSK films demonstrated such effects in low-moisture conditions.', 'The WAF-W solution also exhibited stable viscosity at high temperatures, indicating that the WAF-W film was more stable compared with the SHA and WSK films.', ""WAF-W induced no adverse effects when a hen's egg test was performed on the chorioallantoic membrane (CAM)."", 'This study demonstrated that WAF-W exhibits excellent potential as a topical material for skin moisturizing and anti-aging effe']"
19903	in-vitro	2410	Effect of pH on in vitro potency of amantadine against Plasmodium falciparum.	['Amantadine is a monoprotic weak base that inhibits intraerythrocytic growth in in vitro cultures of Plasmodium falciparum, specifically chloroquine-resistant strains.', 'Changes in the external PH of the medium are expected to result in a shift in the relative proportion of ionized and unionized species of amantadine by virtue of the weak base characteristic of the drug, influencing passage of the drug through the membrane.', 'The ability of amantadine to alkalinize the food vacuole was determined using the accumulation of acridine orange as a vacuolar probe.', 'Drug sensitivity following alteration of the pH gradient was assessed using the hypoxanthine method.', 'Amantadine was able to alkalinize the food vacuole in the millimolar range; however, since its antimalarial activity is in the micromolar range, alkalinization of the food vacuole is not the primary action of the drug.', 'The pH of the medium profoundly influenced susceptibility to chloroquine; the log of the 50% inhibitory concentration (IC50) values were linearly dependent on the external pH in both chloroquine-resistant and chloroquine-sensitive strains.', 'Log IC50 values of amantadine exhibited a linear dependence on external pH in the chloroquine-sensitive strain, but in the chloroquine-resistant strain, a nonlinear parabolic function was found with the minimum IC50 at pH 7.03.', 'Ammonium chloride did not interfere with the antimalarial activity of amantadine.', 'The presence of the amine group on the hydrocarbon cage is essential for the activity of amantadine in Plasmodium falciparum.', 'These results suggest factors in addition to pH gradient are involved in the effect of amantadine, possibly interactions with membrane phospholip']
14372	animal in-vivo	1710	Oral administration of an aqueous extract from the oyster mushroom Pleurotus ostreatus enhances the immunonutritional recovery of malnourished mice.	['Mushroom nutriceutical components have lately attracted interest for developing immunonutritional support.', 'However, there is relatively little information pertaining to the use of mushroom preparations for modulating the metabolic and immunological disorders associated to malnutrition.', 'This study was aimed to evaluate the effects of oral administration of an aqueous extract (CW-P) from Pleurotus ostreatus on the recovery of biochemical and immunological functions of malnourished mice.', '8-week old female BALB/c mice were starved for 3days and then refed with commercial diet supplemented with or without CW-P (100mg/kg) for 8days.', 'Regardless of the diet used during refeeding, animal body weights and serum protein concentrations did not differ between groups.', 'Oral treatment with CW-P normalized haemoglobin levels, liver arginase and gut mucosal weight.', 'CW-P increased total liver proteins and also DNA and protein contents in gut mucosa.', 'Pleurotus extract provided benefits in terms of macrophages activation as well as in haemopoiesis, as judged by the recovery of bone marrow cells and leukocyte counts.', 'Moreover, CW-P stimulated humoral immunity (T-dependent and T non-dependent antibodies responses) compared to non-supplemented mice.', 'CW-P extract from the oyster mushroom can be used to develop specific food or nutritional supplement formulations']
9812	in-vitro	1156	Critical roles for nitric oxide and ERK in the completion of prosurvival autophagy in 4OHTAM-treated estrogen receptor-positive breast cancer cells.	['Autophagy is a mechanism of tamoxifen (TAM) resistance in ER-positive (ER+) breast cancer cells.', 'In this study, we showed in ER+ MCF7 cells that 4-hydroxytamoxifen (4OHTAM) induced cellular nitric oxide (NO) that negatively regulates cellular superoxide (O2-) and cytotoxicity.', '4OHTAM stimulated LC3 lipidation and formation of monodansylcadaverine (MDC)-labeled autophagic vesicles dependent on O2-.', 'Depletion of NO increased O2- and LC3 lipidation, yet reduced formation of MDC-labeled autophagic vesicles.', 'Instead, NO-depleted cells formed remarkably large vacuoles with rims decorated by LC3.', 'The vacuoles were not labeled by MDC or the acidic lysosome-specific fluorescence dye acridine orange (AO).', 'The vacuoles were increased by the late stage autophagy inhibitor chloroquine, which also increased LC3 lipidation.', 'These results suggest NO is required for proper autophagic vesicle formation or maturation at a step after LC3 lipidation.', 'In addition, 4OHTAM induced O2--dependent activation of ERK, inhibition of which destabilized lysosomes/autolysosomes upon 4OHTAM treatment and together with depletion of NO led to necrotic cell death.', 'These results suggest an essential role for endogenous NO and']
13130	animal in-vivo	1562	Effect of malnutrition and hormone treatments on intestinal microvillus membrane glycosylation in suckling rats.	['Imposition of undernutrition in suckling rats significantly enhanced (p less than 0.001) sialic acid and reduced (p less than 0.001) fucose contents of intestinal microvillus membranes (MVM) compared to the controls.', 'Administration of cortisone or insulin to undernourished (UN) pups reversed the sialylation and fucosylation pattern of the membranes.', 'The binding of wheat germ agglutinin (WGA) to membranes was increased (p less than 0.001) and that of Ulex europeus agglutinin (UEA) was decreased in nutritionally deprived pups.', 'Cortisone and insulin treatments reduced WGA and enhanced UEA bindings to UN membranes.', 'The binding of peanut agglutinin (PNA) to UN membranes was 60% higher compared to that in the control rats.', 'Cortisone and insulin treatments further enhanced PNA binding to the brush borders in UN pups.', 'The incorporation of 14C-GlcNAc, 14C-mannose and 3H-fucose into MVM was reduced by 32-57% in UN suckling rats compared to the controls.', 'The incorporation of labelled sugars into membranes from 21- and 50- to 60-day-old rats was essentially similar.', 'Cortisone administration to UN pups augmented the incorporation of labelled GlcNAc and mannose but had no effect on fucose incorporation.', 'Insulin treatment of UN pups insignificantly elevated GlcNAc incorporation into the membranes.', 'These findings suggest that imposition of UN during early suckling period delays the maturational development of intestinal glycosylation.', 'Cortisone and insulin induced adult-type glycosylation pattern of the brush borders in nutritionally deprived p']
5036	Bioanalysis	601	Simultaneous separation and determination of fructose, sorbitol, glucose and sucrose in fruits by HPLC-ELSD.	['A high-performance liquid chromatography (HPLC) method with evaporative light scattering detection (ELSD) was optimised for simultaneous determination of fructose, sorbitol, glucose and sucrose in fruits.', 'The analysis was carried out on a Phenomenex Luna 5u NH₂ 100A column (250 mm × 4.60mm, 5 micron) with isocratic elution of acetonitrile:water (82.5:17.5, v/v).', 'Drift tube temperature of the ELSD system was set to 82 °C and nitrogen flow rate was 2.0 L min ¹.', 'The regression equation revealed good linear relationship (R = 0.9967-0.9989) within test ranges.', 'The limits of detection (LOD) and quantification (LOQ) for four analytes (peach, apple, watermelon, and cherry fruits) were in the range of 0.07-0.27 and 0.22-0.91 mg L ¹, respectively.', 'The proposed HPLC-ELSD method was validated for quantification of sugars in peach, apple, watermelon, and cherry fruits, and the results were satisfactory.', 'The results showed that the contents of the four sugars varied among fruits.', 'While fructose (5.79-104.01 mg g ¹) and glucose (9.25-99.62 mg g ¹) emerged as common sugars in the four fruits, sorbitol (8.70-19.13 mg g ¹) were only found in peach, apple and cherry fruits, and sucrose (15.82-106.39 mg g ¹) were in peach, apple and watermelon.', 'There was not detectable sorbitol in wat']
17479	in-vitro	2099	Antimicrobial efficacy of benzyl isothiocyanate.	['The potential value of benzyl isothiocyanate (BIT) vapor for food preservation was investigated in comparison with allyl isothiocyanate (AIT) vapor.', 'Measurements of minimum inhibitory concentration (MIC) against various bacteria and fungi indicated that BIT vapor shows higher antibacterial activity towards Gram-positive bacteria, including lactic acid bacteria, than AIT vapor.', 'BIT has a similar inhibitory effect to AIT against Gram-negative bacteria, yeast and fungi, except that it was less effective against Pseudomonas fluorescens JCM 5963.', 'Both BIT and AIT have a strong inhibitory activity against yeast and fungi.', 'AIT vapor suppressed growth of total aerobic bacteria in bigeye tuna meat and pork mince during storage at 10 degrees C and 30 degrees C, while BIT vapor had no effect.', 'Also, AIT vapor strongly inhibited mycelial development of Aspergillus sojae JCM 2251 and Penicillium expansum IAM 13777 inoculated on rice cakes, while BIT vapor only slightly suppressed their growth.', 'BIT has antimicrobial activities, but further studies are needed to establish its suitability for use in food preservat']
8402	animal in-vivo	988	Therapeutic potential of cannabidiol against ischemia/reperfusion liver injury in rats.	['The therapeutic potential of cannabidiol, the major non-psychotropic Cannabis constituent, was investigated in rats exposed to ischemia/reperfusion liver injury.', 'Ischemia was induced by clamping the pedicle of the left hepatic lobe for 30 min, and cannabidiol (5mg/kg, intravenously) was given 1h following the procedure and every 24h thereafter for 2 days.', 'Ischemia/reperfusion caused significant elevations of serum alanine aminotransferase and hepatic malondialdehyde, tumor necrosis factor-alpha and nitric oxide levels, associated with significant decrease in hepatic reduced glutathione.', 'Cannabidiol significantly attenuated the deterioration in the measured biochemical parameters mediated by ischemia/reperfusion.', 'Histopathological examination showed that cannabidiol ameliorated ischemia/reperfusion-induced liver damage.', 'Immunohistochemical analysis revealed that cannabidiol significantly reduced the expression of inducible nitric oxide synthase, cyclooxygenase-2, nuclear factor-kappaB, Fas ligand and caspase-3, and increased the expression of survivin protein in ischemic/reperfused liver tissue.', 'These results emphasize that cannabidiol represents a potential therapeutic option to prot']
